Species,BBW,BBZ,BLG,HH,HZ,JJ,JL,LCG,LH,LHH,LHK,MJ,NL,NL2,NL6,NL7,OJ,SY,SYC,WSK,YR,YRS,ZJ,ZJJ
s__Ahrensia_sp._R2A130,5670,7562,340,2734,1456,1478,946,1604,2600,1524,218,1432,2116,500,3610,4360,1146,1256,900,274,4314,2714,1308,1700
s__alpha_proteobacterium_AAP38,1660,1046,2394,1994,4284,7938,1326,3040,2114,996,1672,2256,1120,1154,1728,2216,2566,1810,1778,1790,1588,2112,1512,1552
s__Nitrosomonas_ureae,462,390,8550,1004,2428,2072,1096,2534,1012,988,2860,1400,576,632,666,688,1732,1588,1340,16244,942,980,524,830
s__Desulfotomaculum_kuznetsovii,848,482,1766,1042,2536,21652,450,1848,830,1292,1104,1548,1074,2852,1362,1596,1518,882,1154,1112,818,1230,1236,1304
s__Gallionella_capsiferriformans,3576,258,14930,828,2912,2134,604,2406,992,612,2602,1644,990,1540,884,1202,1486,1140,610,5450,848,742,1016,2062
s__Gillisia_sp._JM1,290,264,324,2280,272,1730,154,370,27724,8938,152,702,150,108,296,378,196,1086,3930,126,694,562,182,310
s__Bradyrhizobium_sp._URHD0069,1344,1030,1602,1014,3942,6274,618,2356,1292,628,1288,1902,3372,6404,2156,3906,2202,1534,972,1544,972,1188,2212,1440
s__Dehalogenimonas_alkenigignens,1056,562,1432,1966,3428,12902,708,2806,2040,1758,556,2158,1036,3324,1340,1858,2038,1674,1510,606,1536,1900,1754,1218
s__Bradyrhizobium_sp._Tv2a-2,2364,1960,1344,1424,3752,2286,840,2232,1464,962,1142,1930,3436,5774,2858,4684,1976,1312,1054,1354,1660,1712,2096,1504
s__Glaciecola_nitratireducens,796,1252,684,6174,3630,208,1846,3866,6726,1186,304,2608,370,314,946,1048,3068,2962,2254,258,2968,5432,1030,1174
s__Marinobacterium_litorale,734,918,1098,4538,4072,6076,1652,2886,4896,1720,548,2042,600,718,1020,1046,3208,2484,2174,430,2280,3982,786,1138
s__Actibacterium_mucosum,2790,1672,430,6632,1896,710,812,1730,4044,2340,74,2198,888,262,1436,2246,1630,1976,1734,116,7204,5058,1846,1306
s__Roseovarius_tolerans,2344,1772,454,5830,1780,766,650,1538,6876,2696,154,1390,994,478,1460,2022,1396,1802,1560,180,7850,4724,1056,1122
s__Paraglaciecola_psychrophila,774,1136,834,5978,3674,2308,1708,3668,5822,1720,570,2206,404,222,814,880,2818,2542,2408,622,3274,4454,1088,926
s__Magnetospirillum_caucaseum,956,662,2070,1638,6448,9156,1198,3430,2118,966,1052,1740,1210,1910,1322,1914,3240,1592,1186,1304,1296,2148,1126,1086
s__Gloeobacter_kilaueensis,1490,724,2132,2256,4600,7880,798,2878,1952,1230,982,2336,1524,1916,1400,2074,2864,1570,2782,1340,1168,2034,1252,1458
s__Arenibacter_algicola,1482,964,974,4566,1772,2582,908,2038,4118,3012,260,2712,606,668,1196,1156,1182,9294,3374,264,3052,2258,886,1302
s__Acidobacterium_capsulatum,2532,462,2128,1040,3156,15454,534,2060,1192,846,1218,1742,2904,2032,1260,1532,1830,890,1588,1400,904,1046,1034,1720
s__Thauera_humireducens,860,298,5574,1268,2528,1384,730,2740,1648,9552,3328,3272,1222,1286,1174,1332,1330,1796,730,3360,1152,1060,1350,1524
s__Tepidimonas_taiwanensis,1158,432,5792,970,2046,902,852,2530,1424,842,5250,2922,1762,1524,1702,1906,1528,2798,796,6038,1134,850,2604,2722
